date,virus,Sample Name,template,num_reps,median,count,at_least_3CTvals,Well,Well Position,CT,Replicate,sample_type,medDist1_method,count2,at_least_3CTvals_aftOut
03-24,WSSV,1e5_Pvan010,1e+05,3,6.6328564,3,keep,20,B8,6.5945168,2,STD,keep,3,keep
03-24,WSSV,1e5_Pvan010,1e+05,3,6.6328564,3,keep,21,B9,6.6328564,3,STD,keep,3,keep
03-24,WSSV,1e5_Pvan019,1e+05,3,7.015972,3,keep,24,B12,7.0599523,3,STD,keep,3,keep
03-24,WSSV,1e5_Pvan019,1e+05,3,7.015972,3,keep,22,B10,7.0139623,1,STD,keep,3,keep
03-24,WSSV,1e5_Pvan019,1e+05,3,7.015972,3,keep,23,B11,7.015972,2,STD,keep,3,keep
03-24,WSSV,1e5_VP28,1e+05,3,9.250271,1,remove,17,B5,NA,2,STD,NA,NA,NA
03-24,WSSV,1e5_VP28,1e+05,3,9.250271,1,remove,18,B6,NA,3,STD,NA,NA,NA
03-24,WSSV,1e5_VP28,1e+05,3,9.250271,1,remove,16,B4,9.250271,1,STD,NA,NA,NA
03-24,WSSV,1e5_VP28.31t,1e+05,3,NA,0,remove,13,B1,NA,1,STD,NA,NA,NA
03-24,WSSV,1e5_VP28.31t,1e+05,3,NA,0,remove,14,B2,NA,2,STD,NA,NA,NA
03-24,WSSV,1e5_VP28.31t,1e+05,3,NA,0,remove,15,B3,NA,3,STD,NA,NA,NA
03-24,WSSV,1e6_Pvan010,1e+06,3,5.965884,3,keep,9,A9,5.986537,3,STD,keep,3,keep
03-24,WSSV,1e6_Pvan010,1e+06,3,5.965884,3,keep,7,A7,5.965884,1,STD,keep,3,keep
03-24,WSSV,1e6_Pvan010,1e+06,3,5.965884,3,keep,8,A8,5.9528556,2,STD,keep,3,keep
03-24,WSSV,1e6_Pvan019,1e+06,3,6.3342147,3,keep,10,A10,6.3342147,1,STD,keep,3,keep
03-24,WSSV,1e6_Pvan019,1e+06,3,6.3342147,3,keep,11,A11,6.284186,2,STD,keep,3,keep
