* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-18-2022
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 01-27-2021
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 01-27-2021
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 01-27-2021
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 01-27-2021
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 01-27-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-18-2022
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 01-27-2021
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 02-23-2022 13:02:58 PM EST
* Date Modified = 02-23-2022 16:36:10 PM EST
* Experiment File Name = E:\2022-02-22 TSV high-low background.eds
* Experiment Name = 2022-02-22 TSV high-low background
* Experiment Run Start Time = 02-23-2022 23:14:49 PM EST
* Experiment Run Stop Time = 02-24-2022 00:48:46 AM EST
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
6	      A6	4	86,287.766	2,306,307.500	535,506.375
7	      A7	4			
8	      A8	4			
9	      A9	4			
10	      A10	4			
11	      A11	4			
12	      A12	4			
13	      B1	4	70,965.617	2,355,333.750	491,503.656
14	      B2	4	71,943.930	2,392,886.250	513,044.906
15	      B3	4	70,855.266	2,348,779.250	510,108.750
16	      B4	4	62,870.121	2,219,403.500	486,713.312
17	      B5	4	99,112.609	2,186,854.250	703,765.875
18	      B6	4	77,619.133	2,184,854.250	505,763.812
19	      B7	4			
20	      B8	4			
21	      B9	4			
22	      B10	4			
23	      B11	4			
24	      B12	4			
25	      C1	4	72,238.711	2,314,142.500	469,642.781
26	      C2	4	71,651.938	2,326,083.000	514,522.781
27	      C3	4	71,595.711	2,262,118.250	447,072.875
28	      C4	4	71,492.344	2,335,723.000	472,031.469
29	      C5	4	62,699.137	2,145,918.250	457,033.875
30	      C6	4	67,182.805	2,155,287.250	461,531.656
31	      C7	4			
32	      C8	4			
33	      C9	4			
34	      C10	4			
35	      C11	4			
36	      C12	4			
37	      D1	4	68,183.648	2,111,927.500	425,422.906
38	      D2	4	59,760.352	2,206,238.250	406,630.344
39	      D3	4	61,663.145	2,131,890.250	402,831.500
40	      D4	4	69,576.617	2,019,938.750	488,767.812
41	      D5	4	60,432.410	2,088,675.000	423,303.281
42	      D6	4	63,593.102	2,085,516.875	441,066.812
43	      D7	4			
44	      D8	4			
45	      D9	4			
46	      D10	4			
47	      D11	4			
48	      D12	4			
49	      E1	4	72,176.523	2,250,584.000	440,865.000
50	      E2	4	69,600.984	1,971,355.000	474,886.000
51	      E3	4	71,227.383	1,987,626.250	486,228.125
52	      E4	4	64,405.301	1,921,515.375	466,365.438
53	      E5	4	70,864.281	2,001,858.500	489,666.594
54	      E6	4	72,049.422	2,044,733.500	488,605.719
55	      E7	4			
56	      E8	4			
57	      E9	4			
58	      E10	4			
59	      E11	4			
60	      E12	4			
61	      F1	4	66,475.359	2,310,893.500	421,722.406
