* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-24-2022
* Calibration Normalization FAM-ROX is expired = No
* Calibration Normalization FAM-ROX performed on = 02-24-2022
* Calibration Normalization VIC-ROX is expired = No
* Calibration Normalization VIC-ROX performed on = 02-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-24-2022
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 04-27-2022 15:15:13 PM EDT
* Date Modified = 04-27-2022 16:49:39 PM EDT
* Experiment File Name = D:\Applied Biosystems\QuantStudio 12K Flex Software\User Files\experiments\2022-04-27_TSV_false positive-2.eds
* Experiment Name = 2022-04-27_TSV_false positive-2
* Experiment Run Start Time = 04-27-2022 23:32:50 PM EDT
* Experiment Run Stop Time = 04-28-2022 01:06:17 AM EDT
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
79	      G7	4	90,899.820	533,415.938	609,011.812
80	      G8	4	97,607.445	562,303.250	639,470.312
81	      G9	4	85,873.703	547,603.188	618,820.938
82	      G10	4	88,210.984	597,696.812	629,630.625
83	      G11	4			
84	      G12	4			
85	      H1	4	53,217.004	500,244.438	362,069.656
86	      H2	4	69,737.867	581,273.938	450,438.000
87	      H3	4	81,733.539	663,594.938	537,289.375
88	      H4	4	82,954.969	654,173.812	508,513.062
89	      H5	4	79,339.891	655,168.312	558,173.125
90	      H6	4	85,213.930	531,371.938	643,103.938
91	      H7	4	79,391.625	472,232.594	612,743.188
92	      H8	4	93,804.680	516,996.156	617,145.125
93	      H9	4	89,810.180	556,770.750	636,073.688
94	      H10	4	82,496.633	533,356.500	595,473.562
95	      H11	4			
96	      H12	4			
1	      A1	5	72,225.891	813,955.188	514,773.219
2	      A2	5	64,007.832	641,207.250	432,209.969
3	      A3	5	66,453.500	770,629.500	513,218.938
4	      A4	5	80,683.961	802,071.562	573,175.812
5	      A5	5	74,827.828	749,335.562	528,094.312
6	      A6	5	62,740.383	678,245.000	432,685.000
7	      A7	5	75,821.164	779,872.062	510,683.500
8	      A8	5	77,513.055	802,990.750	525,580.000
9	      A9	5	76,856.602	807,390.562	512,707.031
10	      A10	5	81,745.992	851,084.625	565,261.188
11	      A11	5	99,676.094	686,560.562	686,727.375
12	      A12	5	92,697.766	660,438.250	667,613.500
13	      B1	5	55,772.281	627,107.000	399,922.312
14	      B2	5	68,706.852	623,564.812	443,106.344
15	      B3	5	71,369.250	697,487.188	489,231.375
16	      B4	5	65,069.711	671,385.125	460,204.031
17	      B5	5	64,841.383	685,317.062	469,104.438
18	      B6	5	69,335.109	752,112.125	498,827.938
19	      B7	5	75,571.469	782,232.250	514,218.062
20	      B8	5	75,924.562	798,594.562	511,053.562
21	      B9	5	72,690.016	803,087.188	527,697.562
22	      B10	5	73,867.398	803,874.250	498,838.000
23	      B11	5	88,090.789	584,496.125	594,472.688
24	      B12	5	103,340.297	726,700.688	662,179.688
25	      C1	5	69,051.422	560,932.812	420,928.031
26	      C2	5	58,620.762	579,043.188	433,513.000
27	      C3	5	60,660.773	588,184.562	416,656.844
28	      C4	5	51,850.820	637,950.062	487,552.750
29	      C5	5	73,823.406	734,673.812	516,838.438
30	      C6	5	62,848.027	724,492.625	508,609.688
31	      C7	5	57,925.336	690,425.250	490,582.906
32	      C8	5	73,086.641	756,015.250	507,430.438
33	      C9	5	71,895.531	747,595.875	506,602.094
34	      C10	5	74,722.875	819,427.188	460,922.406
35	      C11	5	91,348.508	663,880.938	681,587.250
36	      C12	5	97,634.578	688,328.625	645,718.375
37	      D1	5	58,036.961	612,801.250	384,126.062
38	      D2	5	64,842.211	625,199.062	423,577.125
39	      D3	5	59,548.477	594,563.375	424,429.156
40	      D4	5	64,600.062	636,668.062	452,847.156
41	      D5	5	75,525.938	731,171.312	514,391.375
42	      D6	5	73,762.953	772,487.938	508,919.656
43	      D7	5	79,348.258	782,408.438	539,626.500
44	      D8	5	74,261.680	768,186.625	497,489.344
45	      D9	5	75,324.844	764,701.312	500,751.875
46	      D10	5	60,384.172	653,617.375	402,817.406
47	      D11	5	76,855.547	497,555.312	505,591.531
48	      D12	5	81,786.938	620,171.875	549,738.250
49	      E1	5	58,085.551	584,983.562	374,425.531
50	      E2	5	65,082.254	600,363.938	422,567.719
51	      E3	5	63,012.438	596,808.062	422,615.250
52	      E4	5	70,051.070	666,419.625	461,354.281
53	      E5	5	74,408.609	724,725.062	502,765.969
54	      E6	5	89,468.430	631,534.812	660,753.625
55	      E7	5	90,332.617	632,315.188	638,834.688
56	      E8	5	89,609.758	608,355.562	664,206.938
57	      E9	5	85,237.047	626,694.500	634,187.062
58	      E10	5	89,509.703	627,381.750	626,393.375
59	      E11	5	95,106.492	618,440.688	631,670.188
60	      E12	5	94,513.477	673,860.812	646,892.250
61	      F1	5	62,826.629	596,843.750	395,732.812
62	      F2	5	67,907.328	630,065.938	432,653.719
63	      F3	5	62,456.312	596,242.375	425,059.938
64	      F4	5	74,533.742	722,893.438	513,729.594
65	      F5	5	72,045.914	656,928.812	498,332.562
66	      F6	5	88,303.703	617,827.438	645,435.375
67	      F7	5	84,776.266	612,516.750	609,178.500
68	      F8	5	89,730.250	627,648.250	634,780.312
69	      F9	5	79,662.555	540,169.375	606,280.125
70	      F10	5	85,527.547	642,701.000	610,965.062
71	      F11	5			
72	      F12	5			
73	      G1	5	50,235.008	542,835.188	358,175.312
74	      G2	5	70,818.164	585,146.438	413,163.406
75	      G3	5	75,764.242	678,813.188	476,299.344
76	      G4	5	76,980.961	721,130.688	524,502.500
77	      G5	5	74,758.531	718,194.500	525,804.250
78	      G6	5	88,267.500	593,800.312	668,337.500
79	      G7	5	91,951.648	599,096.125	627,894.938
80	      G8	5	99,033.375	632,669.625	657,368.250
